x,y,z,yaw,velocity,change_flag
37.0950,89.8710,-0.6136,2.2615,2.0270,0
35.7388,91.3429,-0.6309,2.2737,2.0015,0
34.2697,93.0991,-0.6524,2.2578,1.9081,0
32.8483,94.8907,-0.6997,2.2352,1.9058,0
31.4239,96.7230,-0.7644,2.2184,1.9341,0
30.1145,98.3217,-0.8398,2.2375,2.0665,0
28.5021,99.9166,-0.9563,2.2989,2.2680,0
26.6527,101.4834,-1.0416,2.4043,2.4238,0
24.4903,102.5830,-1.0092,2.6010,2.4260,0
22.2988,103.1894,-1.0387,2.7843,2.2738,0
20.1955,103.3761,-1.0833,2.9392,2.1116,0
17.8536,103.4614,-1.1231,3.0373,1.9529,0
15.6748,103.4352,-1.1813,3.1050,1.8158,0
13.6246,103.3662,-1.1975,3.1393,2.0513,0
11.3377,103.2892,-1.2589,-3.1349,2.2884,0
9.2301,103.3331,-1.2899,3.1211,2.1080,0
7.0925,103.4484,-1.3206,3.0913,2.1408,0
4.9309,103.5988,-1.3556,3.0621,2.1668,0
2.9195,103.7579,-1.4312,3.0462,2.0176,0
0.6793,103.9194,-1.4850,3.0459,2.2460,0
-1.5788,104.0423,-1.5401,3.0663,2.2615,0
-3.8191,104.0996,-1.6116,3.0856,2.2410,0
-5.9152,104.1412,-1.6771,3.0970,1.7471,0
-7.9265,104.2518,-1.7146,3.0779,0.9157,0
-9.9312,104.8318,-1.7382,2.9335,0.6522,0
-11.9855,105.1021,-1.7840,2.9764,1.0360,0
-14.1544,105.3702,-1.8247,2.9943,1.3659,0
-16.0754,105.9482,-1.8497,2.9044,1.4329,0
-18.0244,106.6835,-1.8887,2.8138,1.4879,0
-19.9047,107.5878,-1.9366,2.7257,1.4903,0
-21.6602,108.8594,-1.9459,2.5616,1.2043,0
-22.8117,110.5349,-1.9335,2.2930,0.7820,0
-23.6677,112.5491,-1.9494,2.0663,1.2158,0
-24.2755,114.5624,-1.9259,1.9163,1.7526,0
-24.6974,116.5965,-1.8915,1.8118,2.0773,0
-24.9968,118.7372,-1.8417,1.7381,2.1616,0
-25.4887,121.0205,-1.8117,1.7755,2.3357,0
-26.2023,122.9319,-1.8152,1.8678,2.5502,0
-27.1586,124.7560,-1.7953,1.9788,2.5745,0
-28.5675,126.7501,-1.7978,2.1124,2.4418,0
-30.0943,128.4710,-1.8153,2.2281,2.3006,0
-31.6407,130.0245,-1.8309,2.2944,2.1921,0
-33.1717,131.4451,-1.8264,2.3423,2.0885,0
-34.6728,132.7766,-1.8304,2.3835,2.0066,0
-36.3616,134.2164,-1.8307,2.3893,1.8494,0
-37.9023,135.6421,-1.8213,2.3735,1.7493,0
-39.5101,137.2053,-1.8175,2.3540,1.6017,0
-41.0048,138.7574,-1.8036,2.3359,1.5392,0
-42.4649,140.2959,-1.7912,2.3212,1.5151,0
-43.9730,141.8800,-1.7873,2.3101,1.5622,0
-45.4203,143.3923,-1.7722,2.3259,1.4953,0
-47.1255,144.8749,-1.7931,2.3781,1.4122,0
-48.8702,146.0159,-1.7990,2.5090,1.4891,0
-51.0513,146.7693,-1.8572,2.7050,1.6483,0
-53.2967,147.1739,-1.9343,2.8566,1.6297,0
-55.3261,147.4539,-2.0235,2.9344,1.0243,0
-57.3784,147.8148,-2.1879,2.9457,0.8682,0
-59.5467,148.4911,-2.2703,2.8494,1.4196,0
-61.4350,149.4071,-2.2187,2.7433,1.3117,0
-63.5232,150.4269,-2.2365,2.6898,1.2911,0
-65.5226,151.2178,-2.2529,2.7264,1.7918,0
-67.5878,151.8397,-2.2352,2.7996,1.7973,0
-69.5854,152.3072,-2.2438,2.8635,2.0516,0
-71.7457,152.7336,-2.2201,2.9068,2.2020,0
-73.9829,153.1605,-2.2088,2.9256,2.2777,0
-76.2669,153.5336,-2.2045,2.9517,2.3143,0
-78.3787,153.8215,-2.2165,2.9730,2.1313,0
-80.6581,154.0925,-2.2158,2.9942,1.9128,0
-82.8161,154.3030,-2.2240,3.0148,1.8070,0
-84.8434,154.4380,-2.1811,3.0441,2.0317,0
-86.8942,154.5267,-2.1643,3.0636,2.0528,0
-88.8989,154.6601,-2.1658,3.0639,2.0091,0
-91.0668,154.8261,-2.1597,3.0550,2.1743,0
-93.4417,155.0307,-2.1687,3.0363,2.3837,0
-95.8437,155.3018,-2.1665,3.0150,2.4173,0
-98.1748,155.6402,-2.1501,2.9864,2.3555,0
-100.3864,156.0564,-2.1491,2.9521,2.2504,0
-102.5138,156.5334,-2.1185,2.9216,2.1803,0
-104.6893,157.0034,-2.0883,2.9087,2.2257,0
-106.8345,157.3926,-2.0709,2.9314,2.1802,0
-109.1915,157.6504,-2.0745,2.9916,2.3711,0
-111.1942,157.7016,-2.0979,3.0579,2.5044,0
-113.2011,157.5761,-2.0895,3.1415,2.5135,0
-115.2647,157.2500,-2.1160,-3.0501,2.6115,0
-117.2754,156.8129,-2.1342,-2.9841,2.5721,0
-119.6590,156.2646,-2.1510,-2.9551,2.4458,0
-122.0222,155.8639,-2.1707,-2.9913,2.3970,0
-124.4373,155.8469,-2.1932,-3.1095,2.4152,0
-126.7715,155.9835,-2.1708,3.0950,2.3382,0
-129.0061,156.1735,-2.1659,3.0718,2.2428,0
-131.2164,156.2005,-2.1591,3.1241,2.2104,0
-133.2281,155.7542,-2.1423,-2.9974,2.0607,0
-135.1125,154.6764,-2.1494,-2.7397,1.8091,0
-136.4848,152.8376,-2.1250,-2.3704,1.9120,0
-137.0902,150.6628,-2.1260,-2.0428,2.2575,0
-137.3354,148.4073,-2.1412,-1.8202,2.2688,0
-137.3844,146.1225,-2.1451,-1.6847,2.2854,0
-137.3172,143.8867,-2.1336,-1.6018,2.2368,0
-137.3144,141.6166,-2.1353,-1.5987,2.2702,0
-137.3403,139.3843,-2.1374,-1.6047,2.2325,0
-137.3947,137.1753,-2.1253,-1.6116,2.2097,0
-137.4620,134.9681,-2.1141,-1.6215,2.2082,0
-137.5833,132.7531,-2.1101,-1.6370,2.2184,0
-137.7284,130.6268,-2.1009,-1.6487,2.1313,0
-137.8578,128.5649,-2.0993,-1.6510,2.0660,0
-137.9649,126.4777,-2.0846,-1.6447,2.0898,0
-138.0598,124.4140,-2.0563,-1.6382,2.0660,0
-138.1550,122.0369,-2.0399,-1.6308,1.9825,0
-138.2189,119.6896,-2.0155,-1.6273,1.9568,0
-138.2864,117.5491,-2.0056,-1.6253,1.7846,0
-138.3542,115.4301,-1.9915,-1.6233,2.1201,0
-138.4457,113.0871,-1.9944,-1.6231,1.9541,0
-138.5395,110.6960,-1.9959,-1.6273,1.9941,0
-138.6704,108.2863,-1.9901,-1.6383,2.0111,0
-138.8195,106.2699,-1.9800,-1.6570,2.0220,0
-139.0690,103.8207,-1.9870,-1.6816,2.0516,0
-139.3353,101.6792,-1.9722,-1.7000,2.1580,0
-139.5892,99.6904,-1.9743,-1.7064,2.0049,0
-139.8232,97.4301,-1.9634,-1.6923,2.2723,0
-139.9801,95.0447,-1.9503,-1.6626,2.3907,0
-140.0939,92.5985,-1.9267,-1.6420,2.4489,0
-140.1793,90.5691,-1.9246,-1.6327,2.5389,0
-140.2453,88.5115,-1.9141,-1.6251,2.5734,0
-140.3025,86.3884,-1.8940,-1.6196,2.6547,0
-140.3431,84.2467,-1.8991,-1.6139,2.6777,0
-140.3751,82.0985,-1.8835,-1.6081,2.6855,0
-140.4356,79.9596,-1.8877,-1.6117,2.6748,0
-140.4712,77.8349,-1.8770,-1.6087,2.6562,0
-140.4966,75.7041,-1.8726,-1.6063,2.6637,0
-140.5424,73.6149,-1.8705,-1.6092,2.6122,0
-140.5979,71.4324,-1.8700,-1.6159,2.7290,0
-140.6685,69.2620,-1.8712,-1.6229,2.7144,0
-140.7778,67.0816,-1.8682,-1.6290,2.7290,0
-140.8978,64.9087,-1.8737,-1.6390,2.7203,0
-141.0130,62.7208,-1.8813,-1.6443,2.7387,0
-141.1278,60.5212,-1.8713,-1.6481,2.7532,0
-141.2581,58.3407,-1.8665,-1.6479,2.7305,0
-141.3681,56.1700,-1.8494,-1.6446,2.7169,0
-141.4944,54.0334,-1.8343,-1.6462,2.6754,0
-141.6388,51.8988,-1.8161,-1.6501,2.6743,0
-141.7430,49.7428,-1.8174,-1.6407,2.6982,0
-141.8199,47.6239,-1.8113,-1.6323,2.6503,0
-141.9084,45.4949,-1.7948,-1.6326,2.6636,0
-142.0111,43.3394,-1.7933,-1.6352,2.6974,0
-142.1146,41.1818,-1.7723,-1.6371,2.7001,0
-142.2349,39.0329,-1.7700,-1.6399,2.6905,0
-142.3607,36.8420,-1.7583,-1.6431,2.7431,0
-142.4949,34.6526,-1.7477,-1.6497,2.7419,0
-142.6310,32.4798,-1.7347,-1.6539,2.7213,0
-142.7906,30.3100,-1.7112,-1.6579,2.7196,0
-142.9375,28.1487,-1.7092,-1.6594,2.7078,0
-143.0877,25.9574,-1.6840,-1.6558,2.7456,0
-143.2050,23.8092,-1.6853,-1.6477,2.6892,0
-143.3076,21.6242,-1.6823,-1.6403,2.7344,0
-143.3984,19.4398,-1.6396,-1.6332,2.7328,0
-143.4793,17.2830,-1.6209,-1.6266,2.6980,0
-143.5638,15.1323,-1.5983,-1.6300,2.6904,0
-143.6643,12.9966,-1.5762,-1.6343,2.6726,0
-143.7649,10.8983,-1.5436,-1.6309,2.6259,0
-143.8300,8.7817,-1.5352,-1.6191,2.6470,0
-143.8653,6.6477,-1.5119,-1.6065,2.6679,0
-143.8549,4.5637,-1.5250,-1.5952,2.6051,0
-143.8802,2.2570,-1.5279,-1.5950,2.3069,0
-143.9184,0.0701,-1.5394,-1.6081,2.1873,0
-144.0329,-2.1410,-1.5479,-1.6270,2.2141,0
-144.1872,-4.3525,-1.5448,-1.6458,2.2170,0
-144.3487,-6.6021,-1.5274,-1.6608,2.2553,0
-144.5187,-8.7567,-1.5136,-1.6633,2.1612,0
-144.6333,-10.7962,-1.5154,-1.6515,2.0428,0
-144.7332,-13.1338,-1.5036,-1.6454,1.9499,0
-144.8988,-15.4948,-1.4808,-1.6598,1.9723,0
-145.0487,-17.4940,-1.4584,-1.6576,2.0048,0
-145.1474,-19.6287,-1.4328,-1.6447,2.1370,0
-145.2183,-21.6514,-1.4066,-1.6385,2.0239,0
-145.3139,-23.9916,-1.3850,-1.6345,1.9519,0
-145.4196,-26.3673,-1.3838,-1.6334,1.9817,0
-145.5049,-28.4281,-1.3756,-1.6340,2.0626,0
-145.6000,-30.5692,-1.3591,-1.6353,2.1433,0
-145.7092,-32.7290,-1.3561,-1.6369,2.1626,0
-145.8063,-34.8955,-1.3516,-1.6402,2.1687,0
-145.9328,-37.1058,-1.3360,-1.6452,2.2139,0
-146.0254,-39.1872,-1.3256,-1.6389,2.0834,0
-146.0679,-41.4562,-1.3058,-1.6154,1.8912,0
-146.0800,-43.5695,-1.3129,-1.5997,1.7612,0
-146.1374,-45.6937,-1.2995,-1.6069,1.5178,0
-146.2438,-47.7564,-1.2897,-1.6258,0.8606,0
-146.4198,-49.9239,-1.2797,-1.6566,0.6396,0
-146.6691,-52.0577,-1.2558,-1.6846,1.3427,0
-146.8896,-54.2611,-1.2582,-1.6886,1.2302,0
-147.0442,-56.3033,-1.2386,-1.6787,1.0241,0
-147.1839,-58.4023,-1.2230,-1.6658,0.9562,0
-147.2972,-60.4619,-1.2018,-1.6510,0.7933,0
-147.3961,-62.4955,-1.2376,-1.6447,1.1311,0
-147.5071,-64.6646,-1.2493,-1.6464,1.0860,0
-147.6815,-66.7998,-1.2406,-1.6556,0.8927,0
-147.8442,-68.8598,-1.2098,-1.6622,1.1480,0
-147.9987,-71.0193,-1.2113,-1.6598,1.0825,0
-148.1433,-73.1866,-1.2335,-1.6595,1.0861,0
-148.2510,-75.2066,-1.1769,-1.6496,0.7224,0
-148.3326,-77.2645,-1.1483,-1.6380,0.4291,0
-148.4468,-79.3810,-1.1445,-1.6335,0.5888,0
-148.8682,-81.3639,-1.1569,-1.7658,0.7240,0
-150.3439,-82.8853,-1.1662,-2.1454,0.7065,0
-152.0739,-84.1224,-1.2148,-2.3796,0.8862,0
-153.9731,-85.2848,-1.2793,-2.5194,1.2371,0
-155.8772,-86.6014,-1.3335,-2.5549,1.2861,0
-157.5592,-87.7478,-1.3683,-2.5642,1.2721,0
-159.3319,-89.0098,-1.4373,-2.5483,1.3600,0
-161.0175,-90.3298,-1.6507,-2.5231,1.5293,0
-162.9228,-91.7743,-1.9173,-2.5192,1.9925,0
-164.7867,-93.1079,-2.2030,-2.5371,1.6370,0
-166.4921,-94.2452,-2.4216,-2.5652,1.4641,0
-168.4848,-95.1091,-2.6350,-2.6827,1.5514,0
-170.2494,-96.0538,-2.8512,-2.6692,1.2510,0
-172.0564,-97.4194,-3.1093,-2.5611,1.2583,0
-173.8548,-98.8166,-3.3725,-2.5238,1.6267,0
-175.5345,-100.1693,-3.6163,-2.4987,1.7972,0
-177.2352,-101.5877,-3.8242,-2.4777,1.8455,0
-178.7949,-102.8948,-4.0309,-2.4701,1.6957,0
-180.3276,-104.1953,-4.2456,-2.4614,1.6752,0
-182.1396,-105.6496,-4.4836,-2.4774,1.6595,0
-183.7233,-106.9831,-4.6975,-2.4663,1.7253,0
-185.3380,-108.4198,-4.8566,-2.4509,1.5439,0
-186.9285,-109.7928,-4.8043,-2.4431,1.1673,0
-188.5667,-111.3145,-4.8172,-2.4266,1.2421,0
-190.0261,-112.6884,-4.8809,-2.4092,1.6703,0
-191.6244,-114.2624,-4.9238,-2.3923,1.8693,0
-193.1093,-115.7593,-4.8377,-2.3842,1.7572,0
-194.5769,-117.3038,-4.7734,-2.3630,1.5218,0
-196.0137,-118.7487,-4.7360,-2.3744,1.0189,0
-197.5632,-120.0890,-4.6995,-2.4358,0.2561,0
-199.5090,-121.0949,-4.6076,-2.5886,0.9957,0
-201.2370,-122.1715,-4.5474,-2.5936,1.2724,0
-202.9364,-123.6921,-4.4853,-2.4742,1.1402,0
-204.3045,-125.2644,-4.3866,-2.3706,1.3026,0
-205.6726,-127.1363,-4.0157,-2.2928,0.9661,0
-207.0793,-128.8038,-3.8545,-2.2863,1.3635,0
-208.4442,-130.3334,-3.6274,-2.3063,1.4643,0
-210.0089,-132.0145,-3.3707,-2.3317,1.4354,0
-211.4775,-133.5753,-3.1165,-2.3450,1.5308,0
-213.0155,-135.1433,-2.8631,-2.3603,1.5688,0
-214.6065,-136.6957,-2.6473,-2.3792,1.5878,0
-216.2614,-138.2593,-2.3998,-2.3953,1.6263,0
-217.9242,-139.7822,-2.1716,-2.4083,1.6106,0
-219.6501,-141.3429,-1.9104,-2.4213,1.6621,0
-221.2928,-142.9272,-1.6731,-2.4017,1.6302,0
-222.7493,-144.4008,-1.4429,-2.3824,1.7266,0
-224.2239,-145.9244,-1.1942,-2.3690,1.7669,0
-225.7166,-147.4988,-0.9656,-2.3643,1.8080,0
-227.2984,-149.1012,-0.7392,-2.3723,1.8763,0
-228.9792,-150.6567,-0.5031,-2.4043,1.9085,0
-230.8442,-152.0623,-0.2613,-2.4930,1.9461,0
-232.9707,-152.9451,-0.1750,-2.6952,1.9188,0
-234.9750,-153.0372,-0.1082,-2.9671,1.2540,0
